state,city,name,reference
MT,Alto Araguaia,CT Alto Araguaia,
SC,Alto Bela Vista,CT Alto Bela Vista,
MT,Alto Boa Vista,CT Alto Boa Vista,
MG,Alto Caparaó,CT Alto Caparaó,
RN,Alto do Rodrigues,CT Alto do Rodrigues,
RS,Alto Feliz,CT Alto Feliz,
MT,Alto Garças,CT Alto Garças,
GO,Alto Horizonte,CT Alto Horizonte,
MG,Alto Jequitibá,CT Alto Jequitibá,
PI,Alto Longá,CT Alto Longá,
MT,Alto Paraguai,CT Alto Paraguai,
PR,Alto Paraíso,CT Alto Paraíso,
RO,Alto Paraíso,CT Alto Paraíso,
GO,Alto Paraiso de Goiás,CT Alto Paraiso de Goiás,
PR,Alto Paraná,CT Alto Paraná,
MA,Alto Parnaíba,CT Alto Parnaíba,
PR,Alto Piquiri,CT Alto Piquiri,
MG,Alto Rio Doce,CT Alto Rio Doce,
ES,Alto Rio Novo,CT Alto Rio Novo,
CE,Alto Santo,CT Alto Santo,
MT,Alto Taquari,CT Alto Taquari,
PR,Altônia,CT Altônia,
PI,Altos,CT Altos ,
SP,Alumínio,CT Alumínio,
AM,Alvarães,CT Alvarães,
MG,Alvarenga,CT Alvarenga,
SP,Álvares Florence,CT Álvares Florence,
SP,Álvares Machado,CT Álvares Machado,
SP,Álvaro de Carvalho,CT Álvaro de Carvalho,
SP,Alvinlândia,CT Alvinlândia,
MG,Alvinópolis,CT Alvinópolis ,
TO,Alvorada,CT Alvorada,
RS,Alvorada,CT Alvorada I,Centro
RS,Alvorada,CT Alvorada II,CT Alvorada II
MG,Alvorada de Minas,CT Alvorada de Minas,
PI,Alvorada do Gurguéia,CT Alvorada do Gurguéia,
GO,Alvorada do Norte,CT Alvorada do Norte,
RO,Alvorada do Oeste,CT Alvorada do Oeste,
PR,Alvorada do Sul,CT Alvorada do Sul,
RR,Amajari,CT Amajari,
MS,Amambaí,CT Amambaí,
AP,Amapá,CT Amapá,CT Amapá
AP,Amapá,CT Amapá - Zona Norte,CT Amapá - Zona Norte
MA,Amapá do Maranhão,CT Amapá do Maranhão,
PR,Amaporã,CT Amaporã,
PE,Amaraji,CT Amaraji,
RS,Amaral Ferrador,CT Amaral Ferrador,
GO,Amaralina,CT Amaralina,
PI,Amarante,CT Amarante,
MA,Amarante do Maranhão,CT Amarante do Maranhão,
BA,Amargosa,CT Amargosa,
AM,Amaturá,CT Amaturá,
BA,Amélia Rodrigues,CT Amélia Rodrigues,
BA,América Dourada,CT América Dourada,
SP,Americana,CT Americana,
GO,Americano do Brasil,CT Americano do Brasil,
SP,Américo Brasiliense,CT Américo Brasiliense,
SP,Américo de Campos,CT Américo de Campos,
RS,Ametista do Sul,CT Ametista do Sul,
CE,Amontada,CT Amontada,
GO,Amorinópolis,CT Amorinópolis ,
PB,Amparo,CT Amparo,
SP,Amparo,CT Amparo,
SE,Amparo de São Francisco,CT Amparo de São Francisco,
MG,Amparo do Serra,CT Amparo do Serra,
PR,Ampére,CT Ampére ,
AL,Anadia,CT Anadia,
BA,Anagé,CT Anagé,
PR,Anahy,CT Anahy,
PA,Anajás,CT Anajás,
MA,Anajatuba,CT Anajatuba,
SP,Analândia,CT Analândia,
AM,Anamã,CT Anamã ,
TO,Ananás,CT Ananás,
PA,Ananindeua,CT Ananindeua I,Curuçambá; Guajará I; Distrito Industrial; Guajará II; Maguari; Paar.
PA,Ananindeua,CT Ananindeua II,40 horas; Cidade Nova (todas); Icuí Guajará; Icuí Laranjeira; Jibóia Branca; Parte do Coqueiro (lado direito descida do viaduto); Estrada da Providência
PA,Ananindeua,CT Ananindeua III,Águas Brancas; Águas Lindas; Aurá; Centro
PA,Ananindeua,CT Ananindeua IV,Guanabara Jaderlândia; Parque Vitória; Parte do Coqueiro (Lado esquerdo subida do viaduto) Una; Valparaiso; Xapuri
GO,Anápolis Leste,CT Anápolis Leste,Zona Leste
GO,Anápolis Norte,CT Anápolis Norte,Zona Norte
GO,Anápolis Oeste,CT Anápolis Oeste,Zona Oeste
GO,Anápolis Sul,CT Anápolis Sul,Zona Sul
PA,Anapu,CT Anapu,
MA,Anapurus,CT Anapurus,
MS,Anastácio,CT Anastácio,
MS,Anaurilândia,CT Anaurilândia,
ES,Anchieta,CT Anchieta,
SC,Anchieta,CT Anchieta,
BA,Andaraí,CT Andaraí,
PR,Andirá,CT Andirá ,
BA,Andorinha,CT Andorinha,
MG,Andradas,CT Andradas,
SP,Andradina,CT Andradina,
RS,André da Rocha,CT André da Rocha,
MG,Andrelândia,CT Andrelândia,
SP,Angatuba,CT Angatuba,
MG,Angelândia,CT Angelândia,
MS,Angelica,CT Angelica ,
PE,Angelim,CT Angelim,
SC,Angelina,CT Angelina,
BA,Angical,CT Angical ,
PI,Angical do Piauí,CT Angical do Piauí,
TO,Angico,CT Angico,
RN,Angicos,CT Angicos,
RJ,Angra dos Reis,CT Angra dos Reis,
BA,Anguera,CT Anguera,
PR,Ângulo,CT Ângulo ,
GO,Anhanguera,CT Anhanguera,
SP,Anhembi,CT Anhembi,
SP,Anhumas,CT Anhumas,
GO,Anicuns,CT Anicuns,
PI,Anísio de Abreu,CT Anísio de Abreu,
SC,Anita Garibaldi,CT Anita Garibaldi,
SC,Anitápolis,CT Anitápolis,
AM,Anori,CT Anori,
RS,Anta Gorda,CT Anta Gorda ,
BA,Antas,CT Antas,
PR,Antonina,CT Antonina,
CE,Antonina do Norte,CT Antonina do Norte,
PI,Antônio Almeida,CT Antônio Almeida,
BA,Antônio Cardoso,CT Antônio Cardoso,
MG,Antônio Carlos,CT Antônio Carlos,
SC,Antônio Carlos,CT Antônio Carlos,
MG,Antônio Dias,CT Antônio Dias,
BA,Antônio Gonçalves,CT Antônio Gonçalves,
MS,Antônio João,CT Antônio João,
RN,Antônio Martins,CT Antônio Martins,
PR,Antonio Olinto,CT Antonio Olinto ,
RS,Antônio Prado,CT Antônio Prado,
MG,Antônio Prado de Minas,CT Antônio Prado de Minas,
PB,Aparecida,CT Aparecida,
SP,Aparecida,CT Aparecida,
SP,Aparecida d'Oeste,CT Aparecida d'Oeste,
GO,Aparecida de Goiânia,CT Aparecida de Goiânia Regional Centro,"01.Setor Central 25.Parque Atalaia 49.Jardim Celia Maria
02.Jardim Iracema 26.Residencial Agenor Modesto
50.Rosa dos Ventos
03.Vila São Manoel 27.Polo Empresarial Goiás etapa I; II
51.Chacara Condominio Sonho Verde
04.Parque Rio das Pedras 28.Setor Terra Prometida 52.Jardim Eldorado
05.Rosa do Sul 29.Indrial Santo Antonio 53.Jardim Palmares
06.Brasicom 30.Jardim Ametista 54.Jardim Casa Grande
07.Bairro Vera Cruz 31.Jardim dos Girassois 55.Jardim Repouso
08.Jardim Belo Horizonte
32.Loteamento Monte Cristo
56.Nova Olinda
09.Loteamento Águas Claras
33.Setor Conde dos Arcos
57.Jardim Miramar
10.Setor Araguaia 34.Jardim Cristalino 58.Internacional Park
11.Residencial Maria Luiza
35.Loteamento Andrade Reis
59.Parque Itamarati
12.Village Garavelo I; II 36.Setor Marista Sul 60.Setor Alvorada Sul
13.Jardim Esplanada 37.Cidade Livre 61.Parque Montreal
14.Residencial Solar Park
38.Colina Azul 62.Conjunto Planícia
15.Residencial Solar Garden
39.Setor dos Estados 63.Real Grandeza
16.Jardim Rio Grande 40.Loteamento Rio Vermelho
64.Parque Industrial Aparecida
17.Jardim Cristal 41.Setor Virginia Park 65.DIMAG - Distrito Industrial de Aparecida de Goiânia
18.Setor Santo André 42.Residencial Walter Paulo III
66.DAIAG - Distrito Agro Industrial de Goiàs
19.Jardim Ipanema 43.Expansul 67.Terra do Sol
20.Jardim Pampulha 44.Vila Adélia 68.Setor Continental
21.Loteamento Santa Luzia
45.Conjunto Ana Rosa 69.Buenos Aires
22.Serra Dourada I a III 46.Jardim das Acácias
23.Parque Village Atalaia
47.Vila Souza
24.Jardim Ipiranga 48.Retiro do Bosque"
GO,Aparecida de Goiânia,CT Aparecida de Goiânia Regional Garavelo,"1.Setor Garavelo 10.Jardim Canadá 19.Jardim Helvécia I e II
2.Buriti Sereno I; II; III e IV
11.Residencial Santa Fé 20.Jardim Veneza
3.Bairro Cardoso I e II 12.Condomínio Jardim Vieira
21.Residencial Campos Elísios
4.Setor Colonial Sul 13.Condomínio Jardim Mônaco
22.Jardim Itapuã
5.Parque das Nações 14; Cidade Empresarial 23.Parque Floresta
6.Jardim Florença 15.Bairro Independência 24.Residencial Porto das Pedras
7.Parque Hayala 16.Vila Oliveira 25.Parque Veiga Jardim

I - a IV

8.Setor Morada dos Pássaros
17.Jardim Tropical 26.Colina de Homero
9. American Park 18.Garavelo Park 27.Setor Pontal Sul I e II"
GO,Aparecida de Goiânia,CT Aparecida de Goiânia Regional Maranata,"1.Maranata 13. Setor Aeroporto Sul 25. Jardim Monte Líbano
2.Jardim dos Ipês 14. Jardim das Cascatas 26. Setor Nova Cidade
3. Quinta da Boa Vista 15. Residencial Anhembi

I - e II

27. Setor Independência Mansões

4.Madre Germana I 16. Jardim Tiradentes 28. Comendador Walmor
5.Jardim São Conrado 17. Jardim Boa Esperança
29. Setor Fabrício

6.Vila Izaura 18. Jardim Riviera Sul 30. Jardim Riviera
7. Loteamento Rio Dourado
19. Goiânia Park Sul 31. Residencial Caraíbas

X -
8.Jardim Dom Bosco I e

II -

20. Residencial Serra das Brisas
32. Residencial Porto do Sol

9.Villa Diefiore 21. Setor Belo Horizonte 33. Residencial Jardim das Ortências
10. Vila Romana 22. Residencial Araguaia 34. Setor dos Bandeirantes

11.Ibirapuera 23. Residencial Norte Sul
35. Jardim Himalaia
12. Jardim Alto Paraíso 24. Residencial Goiany"
GO,Aparecida de Goiânia,CT Aparecida de Goiânia Regional Vila Brasilia,"01.Vila Brasília 20.Condominio Brasilia Sul
39.Jardim Progresso
02.Bairro Ilda 21.Jardim das Esmeradas 40.Vila Santa
03.Conjunto Estrela do Sul
22.Jardim Imperial 41.Nossa Senhora de Lourdes
04.Cidade Vera Cruz I; II 23.Vila Alzira 42.Jardim Bela Vista
05.Conjunto Cidade Vera Cruz
24.Parque Primevera 43.Sítio Santa Luzia
06.Vila Mariana 25.Jardim Palácio 44.Chácara São Pedro
07.Nova Era 26.Vila São Joaquim 45.Jardim dos Buritis
08.Cidade Satélite São Luiz
27.Parque Real 46.Jardim dos Pomares
09.Bela Morada 28.Setor Santos do Monont
47.Chácara Marivania
10.Setor Mansões Paraiso
29.Recanto das Emboabas
48.Chácara Bela Vista
11.Papilon Park 30.Vila Sul 49.Residencial Santa Luzia
12.Residencial Alvaluz 31.Vila Maria 50.Parque Flamboyant
13.Cruzeiro do Sul 32.Jardim Paraiso 51.Jardim Olimpico
14.Jardim Luz 33.Residencial Cândido de Queiroz
52.Setor Tocantins
15.Conjunto Estoril 34.Jardim Bonanza 53.Parque Trindade I e II
16.Jardim Maria Inês 35.Parque Santa Cecília 54.Parque São Jorge
17.Setor dos Afonsos 36.Jardim Transbrasiliana
55.Jardim Verde Vale
18.Jardim Mont Serrat 37.Conjunto Liberdade 56.Setor Franco
19.Conjunto Mabel 38.Setor Vale do Sol 57.Jardim Cecília"
GO,Aparecida do Rio Doce,CT Aparecida do Rio Doce,
TO,Aparecida do Rio Negro,CT Aparecida do Rio Negro,
MS,Aparecida do Taboado,CT Aparecida do Taboado,
RJ,Aperibé,CT Aperibé,
ES,Apiacá,CT Apiacá,
MT,Apiacás,CT Apiacás,
SP,Apiaí,CT Apiaí ,
MA,Apicum-Açu,CT Apicum-Açu,
SC,Apiúna,CT Apiúna ,
RN,Apodi,CT Apodi,
BA,Aporá,CT Aporá,
GO,Aporé,CT Aporé,
BA,Apuarema,CT Apuarema,
PR,Apucarana,CT Apucarana ,
AM,Apuí,CT Apuí,
CE,Apuiarés,CT Apuiarés,
SE,Aquidabã,CT Aquidabã,
MS,Aquidauana,CT Aquidauana ,
CE,Aquiraz,CT Aquiraz,
SC,Arabutã,CT Arabutã,
PB,Araçagi,CT Araçagi,
MG,Araçaí,CT Araçaí,
SE,Aracaju,CT Aracaju 1º Distrito,Inácio Barbosa; São Conrado; Coroa do Meio; Farolândia; Orlando Dantas e Atalaia
SE,Aracaju,CT Aracaju 2º Distrito,Ponto Novo; Novo Paraíso; Siqueira Campos; Jabotiana; América e Capucho
SE,Aracaju,CT Aracaju 3º Distrito,Salgado Filho; Grageru; 13 de Julho; Suíssa; Pereira Lobo; Cirurgia; Getúlio Vargas; Centro; São José e Luzia.
SE,Aracaju,CT Aracaju 4º Distrito,Porto Dantas; Santo Antônio; 18 do Forte; Palestina; Cidade Nova e Industrial
SE,Aracaju,CT Aracaju 5º Distrito,Lamarão; Soledade; Santos Dumont (Almirante Tamandaré); Bugio; Veneza; Jardim Centenário (Matadouro); Olaria (São Carlos) e Capucho
SE,Aracaju,CT Aracaju 6º Distrito,Santa Maria; 17 de Março; Mosqueiro; Areia Branca; São José do Náufragos; Robalo e Aeroporto.
SP,Araçariguama,CT Araçariguama,
BA,Araçás,CT Araçás,
CE,Aracati,CT Aracati,
BA,Aracatu,CT Aracatu,
SP,Araçatuba,CT Araçatuba 1,CRAS III; IV e V
SP,Araçatuba,CT Araçatuba 2,CRAS I; II e VI
BA,Araci,CT Araci,
MG,Aracitaba,CT Aracitaba,
CE,Aracoiaba,CT Aracoiaba,
PE,Araçoiaba,CT Araçoiaba,
SP,Araçoiaba da Serra,CT Araçoiaba da Serra,
ES,Aracruz,CT Aracruz ORLA,Vila do Riacho e Santa Cruz
ES,Aracruz,CT Aracruz SEDE,Sede e os distritos de Guaraná e Jacupemba
GO,Araçu,CT Araçu,
MG,Araçuaí,CT Araçuaí ,
GO,Aragarças,CT Aragarças,
GO,Aragoiânia,CT Aragoiânia,
TO,Aragominas,CT Aragominas ,
TO,Araguacema,CT Araguacema,
TO,Araguaçu,CT Araguaçu ,
MT,Araguaiana,CT Araguaiana,
TO,Araguaína,CT Araguaína polo 1,Polo I - Centro
TO,Araguaína,CT Araguaína polo 2,Polo II - Jardim Santa Helena
MT,Araguainha,CT Araguainha,
MA,Araguanã,CT Araguanã,
TO,Araguanã,CT Araguanã,
GO,Araguapaz,CT Araguapaz,
MG,Araguari,CT Araguari,
TO,Araguatins,CT Araguatins ,
MA,Araioses,CT Araioses,
MS,Aral Moreira,CT Aral Moreira,
BA,Aramari,CT Aramari,
RS,Arambaré,CT Arambaré,
