municipio,nome,numero,situacao,estado
SANTA RITA,LUIZA CARLA MUNIZ CALVET,10,Não eleito,ma
SANTA RITA,MARIA DE JESUS MENDES NUNES RODRIGUES,30,Não eleito,ma
SANTA RITA,MILTON AQUINO GONÇALO MOTA JUNIOR,33,Eleito,ma
SANTANA DO MARANHÃO,MARCIO JOSE MELO SANTIAGO,22,Eleito,ma
SANTANA DO MARANHÃO,RAIMUNDO DE OLIVEIRA TAVARES,12,Não eleito,ma
SANTO AMARO DO MARANHÃO,LEANDRO OLIVEIRA DA SILVA,65,Eleito,ma
SANTO AMARO DO MARANHÃO,LUZIANE LOPES RODRIGUES LISBOA,10,Não eleito,ma
SANTO ANTÔNIO DOS LOPES,CIBELLE TRABULSI NAPOLEÃO MENDONÇA DA SILVA,22,Eleito,ma
SANTO ANTÔNIO DOS LOPES,ANA DE NAZARE PEREIRA SILVA MACEDO MENDONÇA,65,Não eleito,ma
SATUBINHA,DULCE MACIEL PINTO DA CUNHA,44,Não eleito,ma
SATUBINHA,ORLANDO PIRES FRANKLIN,22,Eleito,ma
SENADOR ALEXANDRE COSTA,KELSON DE OLIVEIRA SILVA,44,Não eleito,ma
SENADOR ALEXANDRE COSTA,NILO TAYRONE AROUCHE AMORIM,10,Eleito,ma
SENADOR LA ROCQUE,BARTOLOMEU GOMES ALVES,15,Eleito,ma
SENADOR LA ROCQUE,FRANCISCO GOMES DA SILVA,44,Não eleito,ma
SENADOR LA ROCQUE,RAIMUNDO NONATO PEREIRA BARROSO,45,Não eleito,ma
SENADOR LA ROCQUE,LILCIOMAR MARIANO CARNEIRO,50,Não eleito,ma
SERRANO DO MARANHÃO,GLEICIANE MONTEIRO TORRES,10,Não eleito,ma
SERRANO DO MARANHÃO,OZANIRIA SANTOS PEREIRA,13,Não eleito,ma
SERRANO DO MARANHÃO,VALDINE DE CASTRO CUNHA,22,Eleito,ma
SUCUPIRA DO NORTE,JOSÉ EDEZIO LOPES DE SANTANA,11,Não eleito,ma
SUCUPIRA DO NORTE,MARCONY DA SILVA DOS SANTOS,15,Eleito,ma
SUCUPIRA DO RIACHÃO,EDMILSON CARVALHO DA SILVA,40,Não eleito,ma
SUCUPIRA DO RIACHÃO,WALTERLINS RODRIGUES DE AZEVEDO,44,Eleito,ma
SÃO BENEDITO DO RIO PRETO,MANOEL MATIAS DA SILVA NETO,33,Não eleito,ma
SÃO BENEDITO DO RIO PRETO,WALLAS GONÇALVES ROCHA,10,Eleito,ma
SÃO BENEDITO DO RIO PRETO,FRANCISCO DE ASSIS FERNANDES SOUSA,77,Não eleito,ma
SÃO BENEDITO DO RIO PRETO,JOSÉ MAURICIO CARNEIRO FERNANDES,13,Não eleito,ma
SÃO BENEDITO DO RIO PRETO,FRANCISCO PEREIRA LEÃO FILHO,30,Não eleito,ma
SÃO BENTO,LUIS GONZAGA BARROS,45,Não eleito,ma
SÃO BENTO,CARLOS DINO PENHA,15,Eleito,ma
SÃO BENTO,LOURDIANE DE JESUS NASCIMENTO,50,Não eleito,ma
SÃO BENTO,JOSUE SILVA MELONIO,35,Não eleito,ma
SÃO BENTO,DANIEL CID ALMEIDA MARTINS,40,Não eleito,ma
SÃO BENTO,JOSE RAIMUNDO MOREIRA,27,Não eleito,ma
SÃO BERNARDO,ANTONIO BERNARDO ALVES RODRIGUES,10,Não eleito,ma
SÃO BERNARDO,BERNARDO DOS SANTOS TOMAZ,15,Não eleito,ma
SÃO BERNARDO,FRANCISCO DAS CHAGAS CARVALHO,12,Eleito,ma
SÃO BERNARDO,JOWBERTH FRANK ALVES DA SILVA,13,Não eleito,ma
SÃO DOMINGOS DO AZEITÃO,LOURIVAL LEANDRO DOS SANTOS JUNIOR,11,Eleito,ma
SÃO DOMINGOS DO AZEITÃO,HIDENYLSON SOUSA BARROS,12,Não eleito,ma
SÃO DOMINGOS DO MARANHÃO,KLEBER ALVES DE ANDRADE,11,Eleito,ma
SÃO DOMINGOS DO MARANHÃO,IRISLANE ERNANDES NASCIMENTO CARDOSO,15,Não eleito,ma
SÃO FRANCISCO DO BREJÃO,EDINALVA BRANDAO GONCALVES,11,Eleito,ma
SÃO FRANCISCO DO BREJÃO,SAULLO MILHOMEM LEONCIO,12,Não eleito,ma
SÃO FRANCISCO DO MARANHÃO,FRANCISCO NETO RODRIGUES DE SOUSA,22,Eleito,ma
SÃO FRANCISCO DO MARANHÃO,ALBERONE DOS SANTOS SILVA,13,Não eleito,ma
SÃO FÉLIX DE BALSAS,HEIDER MARTINS NUNES,25,Eleito,ma
SÃO FÉLIX DE BALSAS,JANAINA ELOA MACHADO DELAZERI,65,Não eleito,ma
BATAGUASSU,VALDERI MONTANHEI,13,Não eleito,ms
BATAGUASSU,RUI SPÍNOLA BARBOSA,27,Não eleito,ms
BATAGUASSU,WANDERLEIA DUARTE CARAVINA,45,Eleito,ms
BATAYPORÃ,GERMINO DA ROZ SILVA,45,Eleito,ms
BATAYPORÃ,EDMILSON APARECIDO DA SILVA,15,Não eleito,ms
BELA VISTA,GERARDO GABRIEL NUNES BOCCIA,11,Eleito,ms
BELA VISTA,JOSÉ AYRES CAFURE,45,Não eleito,ms
BODOQUENA,ROSANGELA LOPES FERREIRA SIQUEIRA,11,Não eleito,ms
BODOQUENA,MARIA GIRLEIDE ROVARI,15,Eleito,ms
BONITO,NIVALDO INACIO CARNEIRO,10,Não eleito,ms
BONITO,JOSMAIL RODRIGUES,45,Eleito,ms
BONITO,DÉCIO PEDRO BIGATON,30,Não eleito,ms
BRASILÂNDIA,AURINEIA DE ALMEIDA HALSBACK,15,Não eleito,ms
BRASILÂNDIA,MARCIA REGINA DO AMARAL SCHIO,45,Eleito,ms
CAARAPÓ,MARIA LURDES PORTUGAL,22,Eleito,ms
CAARAPÓ,LEONIDAS IGNACIO MORENO,11,Não eleito,ms
CAMAPUÃ,MANOEL EUGENIO NERY,11,Eleito,ms
CAMAPUÃ,ALTMIR ABDIAS JUVENCIO DE ALMEIDA,44,Não eleito,ms
CAMAPUÃ,LEANDRO MACHADO BORGES,55,Não eleito,ms
CAMPO GRANDE,ADRIANE BARBOSA NOGUEIRA LOPES,11,2º turno,ms
CAMPO GRANDE,CAMILA BAZACHI JARA MARZOCHI,13,Não eleito,ms
CAMPO GRANDE,HUMBERTO REZENDE PEREIRA,45,Não eleito,ms
CAMPO GRANDE,HUMBERTO SAVIO ABUSSAFI FIGUEIRÓ,30,Não eleito,ms
CAMPO GRANDE,ROSIANE MODESTO DE OLIVEIRA,44,2º turno,ms
CAMPO GRANDE,UBIRAJARA BORGES MARTINS,27,Não eleito,ms
CAMPO GRANDE,LUCAS GABRIEL DE SOUZA QUEIROZ BATISTA,50,Não eleito,ms
CARACOL,CARLOS HUMBERTO PAGLIOSA,45,Eleito,ms
CARACOL,MANOEL DOS SANTOS VIAIS,11,Não eleito,ms
CASSILÂNDIA,RODRIGO BARBOSA DE FREITAS,11,Eleito,ms
CASSILÂNDIA,ADMILSO CESÁRIO SANTOS,25,Não eleito,ms
CASSILÂNDIA,VALDECY PEREIRA DA COSTA,45,Não eleito,ms
CHAPADÃO DO SUL,NATALINA LUIZ DE LIMA,13,Não eleito,ms
CHAPADÃO DO SUL,JOCELITO KRUG,45,Não eleito,ms
CHAPADÃO DO SUL,WALTER SCHLATTER,11,Eleito,ms
CHAPADÃO DO SUL,ABEL LEMES DE FREITAS,44,Não eleito,ms
CORGUINHO,RENATA CANHETE,45,Não eleito,ms
CORGUINHO,MÁRCIO NOVAES PEREIRA,15,Eleito,ms
CORONEL SAPUCAIA,LINO LUIZ KEFFLER,22,Não eleito,ms
CORONEL SAPUCAIA,ALDACIR ANTONIO DA SILVA CARDINAL,45,Não eleito,ms
CORONEL SAPUCAIA,NAJLA MARIENNE SCHUCK MARIANO,15,Não eleito,ms
CORONEL SAPUCAIA,NIAGARA PATRICIA GAUTO KRAIEVSKI,11,Eleito,ms
CORUMBÁ,GABRIEL ALVES DE OLIVEIRA,40,Eleito,ms
CORUMBÁ,LUIZ ANTONIO DA SILVA,11,Não eleito,ms
CORUMBÁ,ANDRÉ DE ARRUDA CAMPOS,22,Não eleito,ms
CORUMBÁ,DELCÍDIO DO AMARAL GOMEZ,25,Não eleito,ms
COSTA RICA,MANUELINA MARTINS DA SILVA ARANTES CABRAL,15,Não eleito,ms
COSTA RICA,CLEVERSON ALVES DOS SANTOS,11,Eleito,ms
COXIM,EDILSON MAGRO,11,Eleito,ms
COXIM,PEDRO RONNY ARGERIN,25,Não eleito,ms
DEODÁPOLIS,JEAN CARLOS SILVA GOMES,45,Eleito,ms
DEODÁPOLIS,MARCIO TELES PEREIRA,15,Não eleito,ms
DOIS IRMÃOS DO BURITI,WLADEMIR DE SOUZA VOLK,15,Eleito,ms
DOIS IRMÃOS DO BURITI,MOACIR MARQUES ROSA,20,Não eleito,ms
DOURADINA,LUCIO FLAVIO RAULINO SILVA,45,Não eleito,ms
DOURADINA,ROBERTO ALZIRO,29,Não eleito,ms
DOURADINA,NAIR BRANTI,55,Eleito,ms
DOURADOS,ALAN AQUINO GUEDES DE MENDONÇA,11,Não eleito,ms
DOURADOS,TIAGO RESENDE BOTELHO,13,Não eleito,ms
DOURADOS,FRANCISCA FELISBELA DE BARROS,12,Não eleito,ms
DOURADOS,VALDERI GARCIA,29,Não eleito,ms
DOURADOS,ELBERTO TELES RIBEIRO,18,Não eleito,ms
DOURADOS,MARÇAL GONÇALVES LEITE FILHO,45,Eleito,ms
DOURADOS,RACIB PANAGE HARB,30,Não eleito,ms
ELDORADO,JOSE CARLOS DE ALMEIDA,77,Não eleito,ms
ELDORADO,FABIANA MARIA LORENCI,11,Eleito,ms
ELDORADO,JOSE MARTINS,45,Não eleito,ms
FIGUEIRÃO,JUVENAL CONSOLARO,45,Eleito,ms
FIGUEIRÃO,ROGÉRIO RODRIGUES ROSALIN,11,Não eleito,ms
FIGUEIRÃO,ANTONIO AZEVEDO NABHAN,55,Não eleito,ms
FÁTIMA DO SUL,WAGNER ROBERTO PONSIANO,45,Eleito,ms
FÁTIMA DO SUL,RODRIGO SILVA GARIB,11,Não eleito,ms
GLÓRIA DE DOURADOS,JÚLIO CLEVERTON DOS SANTOS,55,Eleito,ms
GLÓRIA DE DOURADOS,ANTONIO CARLOS DA SILVA VIEIRA,45,Não eleito,ms
GUIA LOPES DA LAGUNA,CLAUDIO ACOSTA MARQUES,27,Não eleito,ms
GUIA LOPES DA LAGUNA,GLEITON LIMA DA SILVA,15,Não eleito,ms
GUIA LOPES DA LAGUNA,MAX ANTONIO SOUZA MORAIS,22,Eleito,ms
IGUATEMI,CARLOS ALBERTO HELING,13,Não eleito,ms
IGUATEMI,JULIANA LARA RUIZ,22,Não eleito,ms
IGUATEMI,LIDIO LEDESMA,45,Eleito,ms
INOCÊNCIA,ANTONIO ANGELO GARCIA DOS SANTOS,11,Eleito,ms
INOCÊNCIA,PAULO HENRIQUE MENEZES MEDEIROS,30,Não eleito,ms
ITAPORÃ,TIAGO TAVARES CARBONARO,11,Eleito,ms
ITAPORÃ,GILBERTO MARTINS DORNELES,27,Não eleito,ms
ITAPORÃ,ROBERTO CARLOS MARSURA,45,Não eleito,ms
ITAQUIRAÍ,VALMIR LOPES DE SOUZA,13,Não eleito,ms
ITAQUIRAÍ,THALLES HENRIQUE TOMAZELLI,45,Eleito,ms
IVINHEMA,JULIANO FERRO BARROS DONATO,45,Eleito,ms
IVINHEMA,FABIO JORGE DO CANTO,44,Não eleito,ms
JAPORÃ,VITOR DA CUNHA ROSA,45,Eleito,ms
JAPORÃ,CESAR BISPO DOS SANTOS,50,Não eleito,ms
JAPORÃ,GILVAN ANTONIO PERIN,55,Não eleito,ms
JARAGUARI,CLAUDIO FERREIRA DA SILVA,45,Eleito,ms
JARAGUARI,LUIZ AUDÍZIO GOMES,22,Não eleito,ms
JARAGUARI,MARIO NOGUEIRA DE SOUZA,10,Não eleito,ms
JARAGUARI,EDMAR SOARES DA SILVA,15,Não eleito,ms
JARDIM,JULIANO DA CUNHA MIRANDA,45,Eleito,ms
JARDIM,GERALDO ALENCAR GONÇALVES,15,Não eleito,ms
JARDIM,CLEDIANE ARECO MATZENBACHER,11,Não eleito,ms
JATEÍ,ODAIR PEREIRA DA SILVA,22,Não eleito,ms
JATEÍ,CILEIDE CABRAL DA SILVA BRITO,45,Eleito,ms
JUTI,GILSON MARCOS DA CRUZ,45,Eleito,ms
JUTI,PEDRO EVANGELISTA LIMA,44,Não eleito,ms
LADÁRIO,ROMERO PACHECO DOS SANTOS,30,Não eleito,ms
LADÁRIO,MUNIR SADEQ RAMUNIEH,45,Eleito,ms
LADÁRIO,LUCIANO CAVALCANTE JARA,11,Não eleito,ms
LAGUNA CARAPÃ,MARCIO BRANDÃO GUTIERRES,45,Não eleito,ms
LAGUNA CARAPÃ,TIHAGO DALBOSCO,11,Não eleito,ms
LAGUNA CARAPÃ,ITAMAR BILIBIO,15,Eleito,ms
LAGUNA CARAPÃ,ZENAIDE ESPINDOLA FLORES,55,Não eleito,ms
MARACAJU,LUCIANO FERNANDES FRANÇA,22,Não eleito,ms
MARACAJU,JOSE MARCOS CALDERAN,45,Eleito,ms
MIRANDA,DIOGO BOSSAY,15,Não eleito,ms
MIRANDA,FABIO SANTOS FLORENÇA,45,Eleito,ms
MUNDO NOVO,RODRIGO GONÇALVES TORRES,10,Não eleito,ms
MUNDO NOVO,GILDO AMARAL,44,Não eleito,ms
MUNDO NOVO,ROSARIA DE FATIMA IVANTES LUCCA ANDRADE,45,Eleito,ms
MUNDO NOVO,ALEXANDRE DOS SANTOS,12,Não eleito,ms
NAVIRAÍ,RHAIZA REJANE NEME DE MATOS,45,Não eleito,ms
NAVIRAÍ,JOSÉ ROBERTO PINHEIRO,13,Não eleito,ms
NAVIRAÍ,JURANDI DOS SANTOS,30,Não eleito,ms
NAVIRAÍ,RODRIGO MASSUO SACUNO,22,Eleito,ms
NIOAQUE,ANDRE BUENO GUIMARAES,11,Eleito,ms
NIOAQUE,JULIANO RODRIGO MARCHETI,45,Não eleito,ms
NOVA ALVORADA DO SUL,DANIELLE SILVA MENDES,15,Não eleito,ms
NOVA ALVORADA DO SUL,ANDRE FELIPE BELMIRIO,40,Não eleito,ms
NOVA ALVORADA DO SUL,JOSÉ PAULO PALEARI,11,Eleito,ms
NOVA ANDRADINA,MARCOS MESSIAS SALTOR DAN,13,Não eleito,ms
NOVA ANDRADINA,MARCOS ALVES GUIMARAES,30,Não eleito,ms
NOVA ANDRADINA,LEANDRO FERREIRA LUIZ FEDOSSI,45,Eleito,ms
NOVA ANDRADINA,MILTON SENA,12,Não eleito,ms
NOVA ANDRADINA,DIONE MARLY GANDOLFO HASHIOKA,44,Não eleito,ms
NOVO HORIZONTE DO SUL,ALDENIR BARBOSA DO NASCIMENTO,45,Eleito,ms
PARANAÍBA,ELENITA DA SILVA SANTOS,13,Não eleito,ms
PARANAÍBA,MÁRGILA LEAL DE SOUZA TOCCHIO,50,Não eleito,ms
PARANAÍBA,ROBSON QUEIROZ DE REZENDE,22,Não eleito,ms
PARANAÍBA,MAYCOL HENRIQUE QUEIROZ ANDRADE,45,Eleito,ms
PARANHOS,DONIZETE APARECIDO VIARO,45,Não eleito,ms
PARANHOS,HELIOMAR KLABUNDE,15,Eleito,ms
PARAÍSO DAS ÁGUAS,IVAN DA CRUZ PEREIRA,45,Eleito,ms
PARAÍSO DAS ÁGUAS,NARCIZO SAMURIO,13,Não eleito,ms
PEDRO GOMES,SILVANA DE CARVALHO TEODORO ZUBCOV,13,Não eleito,ms
PEDRO GOMES,NORMANDO MOTA,45,Não eleito,ms
PEDRO GOMES,JANI MARIA CUNICO DE OLIVEIRA,10,Não eleito,ms
PEDRO GOMES,MURILO JORGE VAZ SILVA,22,Eleito,ms
PONTA PORÃ,APARECIDO CARLOS BERNARDO,12,Não eleito,ms
PONTA PORÃ,ÁLVARO SOARES DOS SANTOS,20,Não eleito,ms
PONTA PORÃ,POMPILIO CABRAL DE JESUS JUNIOR,22,Não eleito,ms
PONTA PORÃ,EDUARDO ESGAIB CAMPOS,45,Eleito,ms
PORTO MURTINHO,DULCINEIA OVELAR LEÃO,10,Não eleito,ms
PORTO MURTINHO,FÁBIO DE MATTOS NETTO,22,Não eleito,ms
PORTO MURTINHO,EBERTON RUIZ JACQUET,40,Não eleito,ms
PORTO MURTINHO,NELSON CINTRA RIBEIRO,45,Eleito,ms
RIBAS DO RIO PARDO,ROBERSON LUIZ MOUREIRA,45,Eleito,ms
RIBAS DO RIO PARDO,JOÃO ALFREDO DANIEZE,13,Não eleito,ms
RIBAS DO RIO PARDO,LUCIEN ROBERTO GARCIA DE REZENDE,50,Não eleito,ms
RIBAS DO RIO PARDO,ELIAS DA SILVA COUTO,12,Não eleito,ms
RIO BRILHANTE,MARLOS AUGUSTO JORIS,50,Não eleito,ms
RIO BRILHANTE,LUCAS CENTENARO FORONI,15,Eleito,ms
RIO BRILHANTE,DAVID VINCENSI,44,Não eleito,ms
RIO NEGRO,HENRIQUE MITSUO VARGAS EZOE,45,Eleito,ms
RIO NEGRO,ELIO SABINO GONÇALVES,25,Não eleito,ms
RIO VERDE DE MATO GROSSO,RÉUS ANTONIO SABEDOTTI FORNARI,11,Eleito,ms
RIO VERDE DE MATO GROSSO,RIOVALDO PIRES MARTINS,15,Não eleito,ms
ROCHEDO,WALDEMIR LUCIO RÔMULO,11,Não eleito,ms
ROCHEDO,PEDRO LUIS DA SILVA ALMEIDA,10,Não eleito,ms
ROCHEDO,ARINO JORGE FERNANDES DE ALMEIDA,45,Eleito,ms
SANTA RITA DO PARDO,LUCIO ROBERTO CALIXTO COSTA,45,Eleito,ms
SELVÍRIA,JAIME SOARES FERREIRA,45,Eleito,ms
SELVÍRIA,GILSON ALVES DE SOUZA,55,Não eleito,ms
SELVÍRIA,ERONILSON DA COSTA PARREIRA,20,Não eleito,ms
SETE QUEDAS,ERLON FERNANDO POSSA DANELUZ,45,Eleito,ms
SETE QUEDAS,JOSE GOMES GOULART,40,Não eleito,ms
SIDROLÂNDIA,VANDA CRISTINA CAMILO,11,Não eleito,ms
SIDROLÂNDIA,LUIZ ANTONIO LEMES DE OLIVEIRA,27,Não eleito,ms
SIDROLÂNDIA,RODRIGO BORGES BASSO,22,Eleito,ms
SONORA,MARIA CLARICE EWERLING,15,Eleito,ms
SONORA,AURELIO GONÇALVES DOS SANTOS FILHO,22,Não eleito,ms
SÃO GABRIEL DO OESTE,CLODOALDO SABINO DA SILVA,10,Não eleito,ms
SÃO GABRIEL DO OESTE,SERGIO LUIZ MARCON,45,Não eleito,ms
SÃO GABRIEL DO OESTE,LEOCIR PAULO MONTAGNA,55,Não eleito,ms
TACURU,ROGÉRIO DE SOUZA TORQUETTI,45,Eleito,ms
TAQUARUSSU,ROBERTO TAVARES ALMEIDA,15,Não eleito,ms
TAQUARUSSU,CLOVIS JOSE DO NASCIMENTO,45,Eleito,ms
TERENOS,SEBASTIÃO DONIZETE BARRACO,15,Não eleito,ms
TERENOS,HENRIQUE WANCURA BUDKE,45,Eleito,ms
TERENOS,LUCILHA DE ALMEIDA,11,Não eleito,ms
TRÊS LAGOAS,VITOR WAGNER NETO DE OLIVEIRA,16,Não eleito,ms
TRÊS LAGOAS,CASSIANO ROJAS MAIA,45,Eleito,ms
TRÊS LAGOAS,RUY JOSE DA COSTA NETO,27,Não eleito,ms
VICENTINA,JOSÉ DA SILVA MACHADO,45,Não eleito,ms
VICENTINA,CLEBER DIAS DA SILVA,15,Eleito,ms
ÁGUA CLARA,HUMBERTO DE LIMA MARQUES,15,Não eleito,ms
ÁGUA CLARA,GEROLINA DA SILVA ALVES,45,Eleito,ms
ABADIA DOS DOURADOS,CIRO LUIZ DA SILVA JUNIOR,55,Eleito,mg
ABADIA DOS DOURADOS,JOAO CUSTODIO BARBOSA,70,Não eleito,mg
ABADIA DOS DOURADOS,JONAS CAETANO FILGUEIRA,20,Não eleito,mg
ABAETÉ,ARMANDO GRECO FILHO,25,Não eleito,mg
ABAETÉ,WILSON MARCELO DA SILVA,45,Não eleito,mg
ABAETÉ,IVANIR DELADIER DA COSTA,15,Eleito,mg
ABRE CAMPO,WANDERLEI LOPES DE MIRANDA,10,Não eleito,mg
ABRE CAMPO,MARCIO PESSOA MOREIRA VICTOR,45,Eleito,mg
ACAIACA,LORENZO ISAAC MILAGRES,11,Não eleito,mg
ACAIACA,LUIZ ALBERTO PEREIRA,70,Eleito,mg
AGUANIL,ELIAS ASSAD ABRÃO,45,Não eleito,mg
AGUANIL,RICARDO DE OLIVEIRA,11,Eleito,mg
AIMORÉS,ANDREA CANDIDA PLASTER MATTOS AFOUMADO,15,Não eleito,mg
AIMORÉS,ROGERIO BORGES ROCHA,13,Não eleito,mg
AIMORÉS,ADRIANO GARCIA,22,Eleito,mg
AIURUOCA,ERLISSON VITOR LOPES,55,Eleito,mg
ALAGOA,VALÉRIA MENDES DE BARROS,43,Não eleito,mg
ALAGOA,SEBASTIÃO MENDES PINTO NETO,45,Eleito,mg
ALBERTINA,FELIPE TEODORO SANCHES,45,Eleito,mg
ALBERTINA,CARLOS ALBERTO ALVES,25,Não eleito,mg
ALBERTINA,HELIONIS DE FARIA,13,Não eleito,mg
ALBERTINA,ANTÔNIO MARCOS BERGAMIN,20,Não eleito,mg
ALFENAS,AMADEU QUINTANILHA PELOSO,22,Não eleito,mg
ALFENAS,ITAMAR SILVA,33,Não eleito,mg
ALFENAS,FABIO MARQUES FLORENCIO,13,Eleito,mg
ALFREDO VASCONCELOS,AMARÍLIO ANTÔNIO FERREIRA,55,Eleito,mg
ALFREDO VASCONCELOS,JOSE VICENTE BARBOSA,15,Não eleito,mg
ALMENARA,ANTONIO FERNANDO PEREIRA DOS SANTOS,25,Não eleito,mg
ALMENARA,LEANDRO BRITO DE ANDRADE,55,Não eleito,mg
ALMENARA,EDUARDO OLIVEIRA BRASILEIRO,13,Eleito,mg
ALMENARA,ALEXSANDRO FERREIRA SOUZA,15,Não eleito,mg
ALMENARA,SAMARONE AUGUSTO DAMASCENO,18,Não eleito,mg
ALPERCATA,RAFAEL AUGUSTO FRANÇA OLIVEIRA MACHADO,55,Eleito,mg
ALPINÓPOLIS,MAYSA MARQUES OLIVEIRA BRASILEIRO,55,Não eleito,mg
ALPINÓPOLIS,RAFAEL HENRIQUE DA SILVA FREIRE,40,Eleito,mg
ALTEROSA,MARCELO NUNES DE SOUZA,55,Eleito,mg
ALTEROSA,DANILO ALBANO SILVA,77,Não eleito,mg
ALTO CAPARAÓ,SEBASTIÃO ANANIAS CAMPOS,55,Eleito,mg
ALTO CAPARAÓ,JOSE JACOMEL JUNIOR,45,Não eleito,mg
ALTO JEQUITIBÁ,DANIEL GUIMARÃES SATHLER,10,Eleito,mg
ALTO JEQUITIBÁ,ALEXANDRE BUZIM DE OLIVEIRA,30,Não eleito,mg
ALTO RIO DOCE,MARCOS LEVINDO BARBOSA DE PAIVA,18,Não eleito,mg
ALTO RIO DOCE,VICTOR DE PAIVA LOPES,15,Eleito,mg
ALVARENGA,GESSI SIQUEIRA LIBORIO,30,Não eleito,mg
ALVARENGA,GERALDO FELICIO JUNIOR,13,Eleito,mg
ALVINÓPOLIS,LINDOURO MODESTO GOMES,13,Eleito,mg
ALVINÓPOLIS,LEDES COTA,20,Não eleito,mg
ALVINÓPOLIS,MAUROSAN GONÇALVES MACHADO,15,Não eleito,mg
ALVINÓPOLIS,JOÃO BATISTA MATEUS DE MORAES,23,Não eleito,mg
ALVORADA DE MINAS,DANILIO CLESSIO FERREIRA,15,Eleito,mg
ALVORADA DE MINAS,VALTER ANTÔNIO COSTA,22,Não eleito,mg
ALÉM PARAÍBA,LUCIANA BASTOS GALHARDO GOMES,55,Não eleito,mg
ALÉM PARAÍBA,PAULO HENRIQUE MARINHO GOLDSTEIN,11,Eleito,mg
ALÉM PARAÍBA,RAFAEL BOUBEE GRACIOLI DA SILVA,22,Não eleito,mg
ALÉM PARAÍBA,JOSE MARCIO FERNANDES DA SILVA,45,Não eleito,mg
ALÉM PARAÍBA,MÁRCIO MAGNO VALVERDE,13,Não eleito,mg
AMPARO DO SERRA,TÚLIO BARBOSA CÁRIA,15,Não eleito,mg
AMPARO DO SERRA,JOSÉ EDUARDO BARBOSA COUTO,11,Não eleito,mg
ANDRADAS,VINÍCIO TEIXEIRA,13,Não eleito,mg
ANDRADAS,JOSE RICARDO FELISBERTO DOS REIS,22,Não eleito,mg
ANDRADAS,MARGOT NAVARRO GRAZIANI PIOLI,23,Eleito,mg
ANDRADAS,MARCIO DONIZETI TEODORO,44,Não eleito,mg
ANDRELÂNDIA,SAMUEL ISAC FONSECA,11,Não eleito,mg
ANDRELÂNDIA,FRANCISCO REGINALDO NOGUEIRA,55,Eleito,mg
ANDRELÂNDIA,PAULO CÉSAR DE OLIVEIRA CASTRO,13,Não eleito,mg
ANDRELÂNDIA,ADRIANO FRANCISCO DA SILVA,25,Não eleito,mg
ANGELÂNDIA,CLÁUDIO ROBERTO GOMES,25,Eleito,mg
ANGELÂNDIA,MARCOS TORQUATO DE SOUZA,70,Não eleito,mg
ANGELÂNDIA,MÁRCIO CORDEIRO GUEDES,10,Não eleito,mg
ANGELÂNDIA,LEOMIR CAMARGOS DOS SANTOS,22,Não eleito,mg
ANTÔNIO CARLOS,MARCELO RIBEIRO DA SILVA,45,Eleito,mg
ANTÔNIO CARLOS,ARACI CRISTINA ARAUJO CARVALHO,12,Não eleito,mg
ANTÔNIO DIAS,GERALDO ROQUE DA SILVA,40,Não eleito,mg
ANTÔNIO DIAS,WILLIAM ROBSON MARQUES FRAGA,22,Não eleito,mg
ANTÔNIO DIAS,ELCIO DE ALMEIDA ATAIDE,55,Eleito,mg
ANTÔNIO PRADO DE MINAS,RONALDO FERREIRA DA SILVA,12,Não eleito,mg
ANTÔNIO PRADO DE MINAS,FERDINANDO CALIAN PEREIRA,55,Eleito,mg
ARACITABA,EDUARDO OLIVEIRA MELQUIADES,15,Não eleito,mg
ARACITABA,TEREZINHA MARCÍLIA DO AMARAL TOLEDO,45,Eleito,mg
CARVALHOS,CARLOS STOESSEL VARGINHA OTOGALI,11,Não eleito,mg
CARVALHOS,VALMIR SIQUEIRA DA SILVA,33,Eleito,mg
CARVALHÓPOLIS,PEDRO GONÇALVES FILHO,15,Eleito,mg
CARVALHÓPOLIS,CSAIGNON MARIANO CAPRONI,10,Não eleito,mg
CARVALHÓPOLIS,GILSON FERREIRA DE MORAES,12,Não eleito,mg
CASA GRANDE,REINALDO ALIMATEIA DA SILVA,15,Eleito,mg
CASA GRANDE,EZIEL VALÉRIO DE RESENDE,45,Não eleito,mg
CASCALHO RICO,DÁRIO BORGES DE REZENDE,55,Eleito,mg
CASCALHO RICO,GILSON SANTOS DE ARAÚJO,23,Não eleito,mg
CATAGUASES,ROGÉRIO DA SILVA DE OLIVEIRA FILHO,65,Não eleito,mg
CATAGUASES,JOSE INÁCIO PEIXOTO PARREIRAS HENRIQUES,15,Eleito,mg
CATAGUASES,FERNANDO PACHECO FIALHO,12,Não eleito,mg
CATAS ALTAS,FERNANDO RODRIGUES GUIMARÃES,20,Não eleito,mg
CATAS ALTAS,VERA LUCIA DE PAULO,77,Não eleito,mg
CATAS ALTAS,SAULO MORAIS DE CASTRO,25,Eleito,mg
CATAS ALTAS DA NORUEGA,PAULO LADISLAU BATISTA,33,Eleito,mg
CATAS ALTAS DA NORUEGA,WEBER LOBO NEIVA JUNIOR,11,Não eleito,mg
CATUJI,JOSE DELFINO BONICENHA MENEGHETTI,50,Não eleito,mg
CATUJI,MARIA JOSÉ DE OLIVEIRA,33,Eleito,mg
CATUJI,JURANDIR AMARAL BATISTA,10,Não eleito,mg
CATUTI,SIMAEL XAVIER MARTINS,20,Não eleito,mg
