municipio,nome,numero,situacao,estado
BARRA DE SÃO MIGUEL,FLORIANO DE ALBUQUERQUE MELO NETO,15,Não eleito,al
BATALHA,NELSON BEZERRA DA COSTA NETO,20,Não eleito,al
BATALHA,WAGNEY DANTAS CORREIA CAJE,15,Eleito,al
BATALHA,ALEX SANDRO ROCHA PINTO,11,Não eleito,al
BELO MONTE,MARIANA LIMA SILVA,10,Não eleito,al
BELO MONTE,DALMO AUGUSTO DE ALMEIDA JÚNIOR,15,Eleito,al
BELÉM,LUIZ HENRIQUE DAMASCENO SURUAGY,40,Não eleito,al
BELÉM,ADALBERTO ANTERO TORRES,11,Eleito,al
BOCA DA MATA,BRUNO FEIJÓ TEIXEIRA,11,Eleito,al
BOCA DA MATA,AMANDA LARISSA BARROS ACIOLI DE MOURA,40,Não eleito,al
BRANQUINHA,RAIMUNDO JOSÉ DE FREITAS LOPES,15,Eleito,al
CACIMBINHAS,WLADIMIR ARAÚJO WANDERLEY,15,Eleito,al
CAJUEIRO,JOSÉ CARLOS DA COSTA CARDOSO,13,Não eleito,al
CAJUEIRO,WELINGTON NEMESIO DE LIMA,11,Não eleito,al
CAJUEIRO,LUCILA RÉGIA ALBUQUERQUE TOLEDO,15,Eleito,al
CAMPESTRE,NELSON MENDES DA SILVA NETO,15,Eleito,al
CAMPESTRE,DEBSON BRASILIANO DA SILVA,11,Não eleito,al
CAMPO ALEGRE,PAULINE DE FÁTIMA PEREIRA ALBUQUERQUE,11,Eleito,al
CAMPO ALEGRE,HENRIQUE ANTONIO DE GOES TENORIO,15,Não eleito,al
CAMPO GRANDE,TEOGENES HIGINO MELO LESSA,40,Eleito,al
CAMPO GRANDE,ERALDO FERREIRA DA SILVA,23,Não eleito,al
CAMPO GRANDE,EDINALDO LIMA DOS SANTOS,10,Não eleito,al
CANAPI,JOSE PAULO ALVES RIBEIRO,12,Não eleito,al
CANAPI,LARA JAYNE SIQUEIRA BARBOSA MALTA BRANDÃO,13,Não eleito,al
CANAPI,JOSÉLIA MELO DE LIMA,11,Eleito,al
CAPELA,THIAGO DE MEDEIROS MOURA,15,Eleito,al
CAPELA,FERNANDO ANTONIO LUCENA MALTA,22,Não eleito,al
CARNEIROS,GENIVALDO NOVAIS AGRA,10,Não eleito,al
CARNEIROS,UBIRATANIA MARIA SANTANA,15,Eleito,al
CHÃ PRETA,MARYELLY CAVALCANTE DA SILVA,40,Não eleito,al
CHÃ PRETA,MAURICIO DE VASCONCELOS HOLANDA,15,Eleito,al
COITÉ DO NÓIA,BUENO HIGINO DE SOUZA SILVA,11,Eleito,al
COITÉ DO NÓIA,JOSÉ DE SENA NETTO,15,Não eleito,al
COLÔNIA LEOPOLDINA,DAVID MARIO FEITOSA JARDIM,22,Não eleito,al
COLÔNIA LEOPOLDINA,ALEXANDRE GILBERTO SOBREIRA,15,Eleito,al
COLÔNIA LEOPOLDINA,MARIA EULALIA MORAES MOURA,12,Não eleito,al
COQUEIRO SECO,RONALDO ALEXANDRE SILVA DOS SANTOS,12,Não eleito,al
COQUEIRO SECO,JADIELSON SILVA DO NASCIMENTO,15,Eleito,al
COQUEIRO SECO,RENATO TADEU FRAGOSO E SILVA,11,Não eleito,al
CORURIPE,MARCELO BELTRÃO SIQUEIRA,11,Eleito,al
CORURIPE,MARCOS ANTONIO LINS DOS SANTOS,23,Não eleito,al
CORURIPE,JOSÉ JAIR MARINHO DE OLIVEIRA,77,Não eleito,al
CRAÍBAS,TEÓFILO JOSÉ BARROSO PEREIRA,11,Eleito,al
CRAÍBAS,EDIEL BARBOSA LIMA,15,Não eleito,al
DELMIRO GOUVEIA,CRISTOVÃO LOPES DIAS,13,Não eleito,al
DELMIRO GOUVEIA,ELIZIANE FERREIRA COSTA LIMA,15,Eleito,al
DOIS RIACHOS,ROZINEIDE BARBOSA DE ARAÚJO CAMILO,15,Eleito,al
DOIS RIACHOS,ROSIVAN RODRIGUES DA SILVA JUNIOR,40,Não eleito,al
ESTRELA DE ALAGOAS,ARLINDO GARROTE DA SILVA NETO,11,Não eleito,al
ESTRELA DE ALAGOAS,ROBERTO FERREIRA WANDERLEY,15,Eleito,al
FEIRA GRANDE,DÁRIO ROBERTO SILVA LIRA,15,Eleito,al
FEIRA GRANDE,CRISTHIAN MESSIAS DE OLIVEIRA LIRA,11,Não eleito,al
FELIZ DESERTO,JORGE LUIS SILVA NUNES,11,Eleito,al
FELIZ DESERTO,DOUGLAS CASTRO SIMÕES LESSA,10,Não eleito,al
FELIZ DESERTO,JOSÉ MARCELO ARAÚJO LESSA  FILHO,20,Não eleito,al
FLEXEIRAS,SILVANA MARIA CAVALCANTE DA COSTA PINTO,11,Eleito,al
FLEXEIRAS,BRUNO LOUREIRO FRAGOSO,15,Não eleito,al
GIRAU DO PONCIANO,GILBERTO BEZERRA BARROS,11,Eleito,al
GIRAU DO PONCIANO,LIDIA SAMYRA DO NASCIMENTO BARROS SILVA,12,Não eleito,al
IBATEGUARA,EDJA MARIA CAVALCANTI SANTOS DE SÁ,22,Não eleito,al
IBATEGUARA,MANOEL GERAERTES ALVES CRUZ,15,Eleito,al
IGACI,JOSE PETRUCIO OLIVEIRA BARBOSA,15,Eleito,al
IGACI,ALBERES CANDIDO DA SILVA,44,Não eleito,al
IGREJA NOVA,TIAGO GOMES DOS SANTOS,15,Eleito,al
IGREJA NOVA,GERALDO NUNES CADETE NETO,44,Não eleito,al
IGREJA NOVA,MAURICIO RICHARDSON BERNARDINO DO NASCIMENTO,22,Não eleito,al
INHAPI,WELLINGTON PETRONIO MENEZES FREIRE,12,Não eleito,al
INHAPI,JOÃO ROSALVO DA SILVA,43,Não eleito,al
INHAPI,LUIZ CELSO MALTA BRANDÃO FILHO,11,Eleito,al
JACARÉ DOS HOMENS,MARIA DO SOCORRO MELO DA SILVA,15,Eleito,al
JACARÉ DOS HOMENS,JOSE ERNESTO SILVA JUNIOR,11,Não eleito,al
JACUÍPE,MARCOS VINICIUS DA SILVA FERREIRA,11,Não eleito,al
JACUÍPE,MAYARA CRISTINA CAVALCANTE DE FREITAS,15,Eleito,al
JAPARATINGA,MARIA HELENA CALAÇA CARVALHO,40,Não eleito,al
JAPARATINGA,JOSÉ SEVERINO DA SILVA,15,Eleito,al
JARAMATAIA,RICARDO MARTINS BARBOSA,15,Eleito,al
JEQUIÁ DA PRAIA,MARIA JOSE ALVES ANANIAS,22,Não eleito,al
JEQUIÁ DA PRAIA,JOSÉ ZILMO DE ALENCAR SANTOS,20,Não eleito,al
JEQUIÁ DA PRAIA,CARLOS FELIPE CASTRO JATOBA LINS,11,Eleito,al
JOAQUIM GOMES,ELIAS JOSE DA SILVA,40,Não eleito,al
JOAQUIM GOMES,RITA DE CASSIA CAVALCANTE ANDRADE DE MORAIS,15,Eleito,al
JUNDIÁ,BEROALDO RUFINO DA SILVA,22,Não eleito,al
JUNDIÁ,JORGE SILVIO LUENGO GALVÃO,15,Eleito,al
JUNQUEIRO,JOÃO JOSÉ PEREIRA FILHO,11,Não eleito,al
JUNQUEIRO,ONALDO BELTRÃO TAVARES,27,Não eleito,al
JUNQUEIRO,CICERO LEANDRO PEREIRA DA SILVA,15,Eleito,al
LAGOA DA CANOA,EDILZA ALVES DE SOUZA,11,Eleito,al
LAGOA DA CANOA,JAIR LIRA SOARES,15,Não eleito,al
LAGOA DA CANOA,JARBAS GOMES DE BARROS PEREIRA LOPES,55,Não eleito,al
LIMOEIRO DE ANADIA,JOSE VALMIR DA SILVA FILHO,12,Não eleito,al
LIMOEIRO DE ANADIA,SIDNEY VIEIRA DE SOUZA,10,Não eleito,al
LIMOEIRO DE ANADIA,JAMES MARLAN FERREIRA BARBOSA,11,Eleito,al
LIMOEIRO DE ANADIA,JOSÉ CARLOS SILVA DE ALMEIDA,50,Não eleito,al
MACEIÓ,RAFAEL DE GÓES BRITO,15,Não eleito,al
MACEIÓ,LENILDA LUNA DE ALMEIDA,80,Não eleito,al
MACEIÓ,JOAO HENRIQUE HOLANDA CALDAS,22,Eleito,al
MACEIÓ,MARINA NOBRE TENÓRIO CRISÓSTOMO,29,Não eleito,al
MACEIÓ,ANIVALDO LUIZ DA SILVA,77,Não eleito,al
MAJOR ISIDORO,ERALDO DOS SANTOS LIMA,11,Não eleito,al
MAJOR ISIDORO,THEOBALDO CAVALCANTI LINS NETTO,15,Eleito,al
MAR VERMELHO,ANDRÉ BRANDÃO DE ALMEIDA,15,Eleito,al
MARAGOGI,DANIEL MENDES DE VASCONCELOS FERREIRA,11,Eleito,al
MARAGOGI,AGENILSON DOS SANTOS SILVA,22,Não eleito,al
MARAGOGI,JAIRO MOTA XAVIER DE OLIVEIRA,10,Não eleito,al
MARAGOGI,MARCOS JOSÉ DIAS VIANA,15,Não eleito,al
MARAVILHA,JAMIS LUIT SANTANA DOS SANTOS,11,Não eleito,al
MARAVILHA,ANTÔNIO JORGE RODRIGUES,10,Eleito,al
MARECHAL DEODORO,ANDRÉ LUIZ BARROS DA SILVA,15,Eleito,al
MARECHAL DEODORO,JOSÉ GILVAN RIBEIRO DE ALMEIDA FILHO,10,Não eleito,al
MARIBONDO,BRUNO ZEFERINO DO CARMO TEIXEIRA,40,Eleito,al
MARIBONDO,JORGE ANTÔNIO AMORIM MARQUES LUZ,11,Não eleito,al
MATA GRANDE,WALLYSSON FIRMO DE HOLANDA SOARES,40,Não eleito,al
MATA GRANDE,MARIA FABIANA FARIAS DE ALENCAR,15,Eleito,al
MATRIZ DE CAMARAGIBE,FERNANDO HENRIQUE LIMA CAVALCANTE,15,Eleito,al
MATRIZ DE CAMARAGIBE,AMARO GALDINO DA SILVA,13,Não eleito,al
MATRIZ DE CAMARAGIBE,MARCOS PAULO DO NASCIMENTO,11,Não eleito,al
MESSIAS,ARY CLEYTON DE CARVALHO RÊGO,12,Não eleito,al
MESSIAS,MARCOS JOSÉ HERCULANO DA SILVA,10,Eleito,al
MESSIAS,JARBAS MAYA DE OMENA FILHO,11,Não eleito,al
MESSIAS,GEOBERTO GONÇALVES DA SILVA CORDEIRO,70,Não eleito,al
MINADOR DO NEGRÃO,JOSE EMILIO TENORIO BARROS,40,Não eleito,al
MINADOR DO NEGRÃO,JOSIAS SOARES DA SILVA,15,Eleito,al
MONTEIRÓPOLIS,LEONOR MELO MONTEIRO,15,Eleito,al
MONTEIRÓPOLIS,LIDIA DIELLY SILVA SANTOS,20,Não eleito,al
MURICI,EDUARDO CESAR DE OLIVEIRA,11,Não eleito,al
MURICI,REMI VASCONCELOS CALHEIROS FILHO,15,Eleito,al
MURICI,CAUBI DAMARA DE OMENA FREITAS FILHO,20,Não eleito,al
NOVO LINO,JOSE EDUARDO DOS SANTOS SALES,22,Não eleito,al
NOVO LINO,MARCELA SILVA GOMES DE BARROS,15,Eleito,al
OLHO D&apos;ÁGUA DAS FLORES,JOSÉ LUIZ VASCONCELLOS DOS ANJOS,15,Eleito,al
OLHO D&apos;ÁGUA DAS FLORES,CLAUDEVAN FERREIRA ROCHA,77,Não eleito,al
OLHO D&apos;ÁGUA DAS FLORES,ALYSON FELIX DUARTE DANTAS,22,Não eleito,al
OLHO D&apos;ÁGUA DO CASADO,CARLOS ALBERTO BEZERRA DA SILVA,13,Eleito,al
OLHO D&apos;ÁGUA DO CASADO,JOSE MESSIAS DIAS DOS SANTOS,77,Não eleito,al
OLHO D&apos;ÁGUA DO CASADO,MARCOS VIEIRA SOUSA,15,Não eleito,al
OLHO D&apos;ÁGUA GRANDE,TEREZA DE FATIMA BARBOSA CEDRIM,10,Não eleito,al
OLHO D&apos;ÁGUA GRANDE,MARIA SUZANICE HIGINO BAHÉ,11,Eleito,al
OLIVENÇA,JORGINALDO VIEIRA DE MENESES,10,Não eleito,al
OLIVENÇA,JOSIMAR DIONISIO,15,Eleito,al
OURO BRANCO,ATEVALDO CABRAL SILVA,15,Não eleito,al
OURO BRANCO,TACIA DENYSE DE SIQUEIRA NOBRE,11,Eleito,al
PALESTINA,DINO CÉSAR DO NASCIMENTO,11,Não eleito,al
PALESTINA,JOSÉ DJALMA GONÇALVES DA SILVA,15,Eleito,al
PALMEIRA DOS ÍNDIOS,MOSABELLE RODRIGUES BRASILEIRO MONTEIRO,10,Não eleito,al
PALMEIRA DOS ÍNDIOS,GERVÁSIO RAIMUNDO DOS SANTOS NETO,25,Não eleito,al
PALMEIRA DOS ÍNDIOS,CRISTIANO ÁVILA RAMOS FERREIRA,12,Não eleito,al
PALMEIRA DOS ÍNDIOS,LUISA JULIA DUARTE,15,Eleito,al
PARICONHA,PEDRO PEREIRA DE SÁ JUNIOR,13,Não eleito,al
PARICONHA,ANTONIO TELMO NOIA,15,Eleito,al
PARIPUEIRA,EDVANIO DE LIMA SANTOS,10,Não eleito,al
PARIPUEIRA,CARLOS ABRAHÃO GOMES DE MOURA,15,Eleito,al
PASSO DE CAMARAGIBE,ELLISSON SANTOS DA SILVA,10,Eleito,al
PASSO DE CAMARAGIBE,MARIA LAVÍNIA FARIAS QUIRINO COSTA,15,Não eleito,al
PAULO JACINTO,FABRICIO BERTO FAUSTINO,40,Não eleito,al
PAULO JACINTO,FRANCISCO MANOEL FERREIRA FONTAN,11,Eleito,al
PENEDO,MARCIUS BELTRÃO SIQUEIRA,12,Não eleito,al
PENEDO,RONALDO PEREIRA LOPES,15,Eleito,al
PIAÇABUÇU,KAYRO CRISTÓVÃO CASTRO DOS SANTOS,11,Não eleito,al
PIAÇABUÇU,ANTONINO CARDOZO DE CARVALHO,40,Não eleito,al
PIAÇABUÇU,RYMES MARINHO LESSA,15,Eleito,al
